Equipo,Continente,Director,Nacionalidad
1,Rusia,Europa,Stanislav Cherchesov,Rusia
2,Arabia Saudita,Asia,Juan Antonio Pizzi,Argentina
3,Egipto,África,Héctor Cúper,Argentina
4,Uruguay,América del Sur,Óscar Tabárez,Uruguay
5,Portugal,Europa,Fernando Santos,Portugal
6,España,Europa,Julen Lopetegui,España
7,Marruecos,África,Hervé Renard,Francia
8,Irán,Asia,Carlos Queiroz,Portugal
9,Francia,Europa,Didier Deschamps,Francia
10,Australia,Oceanía,Bert van Marwijk,Holanda
11,Perú,América del Sur,Ricardo Gareca,Argentina
12,Dinamarca,Europa,Åge Hareide,Noruega
13,Argentina,América del Sur,Jorge Sampaoli,Argentina
14,Islandia,Europa,Heimir Hallgrímsson,Islandia
15,Croacia,Europa,Zlatko Dalić,Croacia
16,Nigeria,África,Gernot Rohr,Alemania
17,Brasil,América del Sur,Tite,Brasil
18,Suiza,Europa,Vladimir Petković,Bosnia y Herzegovina
19,Costa Rica,América Central,Oscar Ramírez,Costa Rica
20,Serbia,Europa,Mladen Krstajić,Serbia
21,Alemania,Europa,Joachim Löw,Alemania
22,México,América del Norte,Juan Carlos Osorio,Colombia
23,Suecia,Europa,Janne Andersson,Suecia
24,Corea del Sur,Asia,Shin Tae-yong,Corea del Sur
25,Bélgica,Europa,Roberto Martínez,España
26,Panamá,América Central,Hernán Darío Gómez,Colombia
27,Túnez,África,Nabil Maâloul,Túnez
28,Inglaterra,Europa,Gareth Southgate,Inglaterra
29,Colombia,América del Sur,Jose Pekerman,Argentina
30,Japón,Asia,Akira Nishino,Japón
31,Polonia,Europa,Adam Nawałka,Polonia
32,Senegal,África,Aliou Cissé,Senegal


     /*     continentes[0][0] = "";               continentes[0][1] = "Rusia";             continentes[0][2] = "Ruso";                //Stanislav Cherchesov
        continentes[1][0] = "";               continentes[1][1] = "Portuga";           continentes[1][2] = "Portugues";           //Fernando Santos
        continentes[2][0] = "";               continentes[2][1] = "España";            continentes[2][2] = "Español";             //Julen Lopetegui
        continentes[3][0] = "";               continentes[3][1] = "Francia";           continentes[0][2] = "Frances";             //Didier Deschamps
        continentes[4][0] = "";               continentes[4][1] = "Dinamarca";         continentes[0][2] = "Noruego";             //Åge Hareide
        continentes[5][0] = "";               continentes[5][1] = "Islandia";          continentes[0][2] = "Islandia";            //Heimir Hallgrímsson
        continentes[6][0] = "Europa";         continentes[6][1] = "Croacia";           continentes[0][2] = "Croata";              //Zlatko Dali
        continentes[7][0] = "";               continentes[7][1] = "Suiza";             continentes[0][2] = "Bosnia y Herzegovina";//Vladimir Petković
        continentes[8][0] = "";               continentes[8][1] = "Serbia";            continentes[0][2] = "Serbio";              //Mladen Krstajić
        continentes[9][0] = "";               continentes[9][1] = "Alemania";          continentes[0][2] = "Aleman";              //Joachim Löw
        continentes[10][0] = "";              continentes[10][1] = "Suecia";           continentes[0][2] = "Sueco";               //Janne Andersson
        continentes[11][0] = "";              continentes[11][1] = "Bélgica";          continentes[0][2] = "Español";             //Roberto Martíne
        continentes[12][0] = "";              continentes[12][1] = "Inglaterra";       continentes[0][2] = "Ingles";              //Gareth Southgate
        continentes[13][0] = "";              continentes[13][1] = "Polonia";          continentes[0][2] = "Polaco";              //Adam Nawałka*/
                                                    
